Location,Time,TPopulation1Jan,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,PopGrowthRate,Births,CBR,CDR,LEx,LExMale,LExFemale,LE15Male,LE15Female,LE65Male,LE65Female,LE80Male,LE80Female,IMR,LBsurvivingAge1,Q5,Q0040Male,Q0040Female,Q0060Male,Q0060Female,Q1550Male,Q1550Female,Q1560Male,Q1560Female,CNMR
China,1950,539190.005,280086.872,263892.362,56.6645,106.1368,22.2459,1.761,22350.731,41.049,23.192,43.7383,42.1145,45.6072,41.5822,45.4871,8.2552,9.9404,3.9911,4.4425,131.8054,20286.065,207.9062,398.4736,372.2687,643.7203,558.4043,308.7362,255.0254,512.4424,404.6381,-0.265
China,1951,548768.461,284806.732,268807.256,57.6681,105.952,21.9448,1.751,22197.814,40.094,22.412,44.5742,42.9824,46.3854,42.1499,45.9445,8.3728,10.0395,4.0258,4.446,128.5373,20198.115,201.7995,385.4894,361.3105,628.7047,545.8347,296.7936,247.053,497.6801,393.8798,-0.177
China,1952,558459.515,290417.889,274536.633,58.8494,105.7847,21.6114,2.299,25480.19,45.052,21.97,45.4143,43.7918,47.2541,42.5561,46.397,8.4347,10.1435,4.0269,4.4527,125.1266,23245.706,195.493,373.1789,349.0278,615.828,532.3049,288.0087,239.2722,486.7996,383.3733,-0.114
China,1953,571449.53,296602.92,280775.763,60.1436,105.6369,21.2678,2.054,24151.009,41.844,21.228,46.03,44.489,47.7561,43.1324,46.8219,8.5758,10.2416,4.0711,4.4574,122.1313,22083.786,189.9897,363.5054,342.3847,601.981,523.0872,276.4053,231.9848,471.6425,373.5948,-0.07
China,1954,583307.835,302872.643,287063.361,61.4517,105.5072,20.9536,2.247,25426.945,43.083,20.579,46.7536,45.1603,48.5342,43.5107,47.1822,8.6432,10.318,4.0755,4.454,120.468,23280.148,186.9541,353.4794,331.0385,590.3753,511.1367,268.4953,225.7074,461.404,365.3249,-0.043
China,1955,596564.173,309547.866,293772.281,62.8458,105.37,20.6797,2.24,25708.735,42.607,20.186,47.165,45.4494,49.0995,43.4622,47.3884,8.5136,10.3243,3.9705,4.4122,117.5465,23590.786,181.667,347.8135,322.4771,587.5392,502.9729,267.5835,221.5976,461.7491,360.4138,-0.028
China,1956,610076.12,315991.154,300291.868,64.1961,105.228,20.4559,2.014,24379.882,39.574,19.402,47.7271,46.0017,49.6654,43.7074,47.6325,8.5293,10.3557,3.9509,4.3913,114.7327,22419.486,176.6083,339.5333,314.194,578.7009,494.611,262.0634,216.9712,454.8539,354.8875,-0.021
China,1957,622489.923,322826.76,307176.264,65.6253,105.095,20.2014,2.385,27011.624,42.842,18.991,48.2609,46.5065,50.2269,43.9522,47.8899,8.5297,10.3943,3.9243,4.3785,112.1007,24889.436,171.8689,331.7019,306.0656,570.4874,486.2431,256.3175,212.0775,448.2145,349.2001,-0.019
China,1958,637516.126,329694.953,314096.628,67.0616,104.9661,19.9378,1.95,24301.954,37.775,18.238,48.7683,46.9704,50.7806,44.1463,48.1509,8.519,10.4402,3.8929,4.3733,109.2437,22441.312,166.7655,324.5827,298.2089,563.2898,478.054,251.6599,207.1455,442.8714,343.591,-0.028
China,1959,650067.035,333770.389,318408.805,67.9353,104.8245,19.8435,0.648,20457.256,31.406,24.832,39.696,38.2228,41.3801,40.5769,44.7749,7.5885,9.3445,3.5151,4.0103,157.0029,18206.232,261.6374,455.2513,426.3515,687.3646,607.9786,326.5676,261.7913,534.3609,421.5553,-0.089
